idno,cntry,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,anctry1,anctry2
64602,ME,1.0,4.0,4.0,1.5,5.0,5.0,Montenegrin nfs,No second ancestry* 
64607,ME,1.0,1.0,1.0,0.0,10.0,10.0,Serbian nfs,Montenegrin nfs
64609,ME,2.0,2.0,2.0,2.1,3.0,3.0,Roma/Gypsy/Sinti,No second ancestry* 
64643,ME,1.0,1.0,2.0,0.0,10.0,5.0,Montenegrin nfs,No second ancestry* 
64685,ME,3.0,3.0,3.0,1.2000000000000002,8.0,8.0,Albanian nfs,No second ancestry* 
64729,ME,2.0,2.0,2.0,1.2000000000000002,7.0,8.0,Montenegrin nfs,Bosniak/Bosnian
64760,ME,3.0,3.0,3.0,2.4,3.0,3.0,Albanian nfs,No second ancestry* 
64781,ME,3.0,3.0,3.0,1.5,7.0,5.0,Albanian nfs,No second ancestry* 
64850,ME,2.0,2.0,2.0,1.7999999999999998,4.0,5.0,Montenegrin nfs,No second ancestry* 
64873,ME,1.0,1.0,2.0,1.5,5.0,4.0,Montenegrin nfs,No second ancestry* 
64894,ME,4.0,4.0,4.0,2.7,0.0,0.0,Bosniak/Bosnian,Muslim nfs
64952,ME,1.0,4.0,1.0,1.5,7.0,7.0,Serbian nfs,No second ancestry* 
64966,ME,1.0,1.0,1.0,2.4,1.0,4.0,Serbian nfs,No second ancestry* 
64968,ME,4.0,4.0,3.0,2.1,3.0,2.0,Montenegrin nfs,No second ancestry* 
65119,ME,3.0,3.0,3.0,1.5,5.0,5.0,Montenegrin nfs,No second ancestry* 
65121,ME,2.0,2.0,2.0,3.0,0.0,0.0,Yugoslav,Montenegrin nfs
65180,ME,2.0,2.0,2.0,3.0,2.0,1.0,Yugoslav,Montenegrin nfs
65181,ME,1.0,2.0,3.0,0.9000000000000004,9.0,5.0,Serbian nfs,No second ancestry* 
65196,ME,4.0,4.0,4.0,3.0,5.0,0.0,Montenegrin nfs,No second ancestry* 
65285,ME,2.0,2.0,2.0,0.9000000000000004,6.0,5.0,Montenegrin nfs,No second ancestry* 
65287,ME,3.0,3.0,3.0,2.7,2.0,9.0,Muslim nfs,Montenegrin nfs
65304,ME,4.0,4.0,4.0,2.4,3.0,1.0,Serbian nfs,No second ancestry* 
65344,ME,2.0,2.0,2.0,1.2000000000000002,5.0,5.0,Montenegrin nfs,No second ancestry* 
65434,ME,2.0,3.0,2.0,1.7999999999999998,5.0,5.0,Serbian nfs,No second ancestry* 
